,0
0,ACEVW
1,ADTHW
2,ADVWW
3,AGILW
4,AL
5,ALF
6,ALFIW
7,APCXW
8,APPS
9,AUROW
10,AUUDW
11,AVCTW
12,AVLR
13,AVPT
14,AVPTW
15,BEATW
16,BEEMW
17,BLBX
18,CCMP
19,CMAX
20,CMAXW
21,CMCM
22,CORZW
23,CPTNW
24,CREXW
25,CSCO
26,CTEK
27,CTK
28,CUENW
29,CYBR
30,DATSW
31,DAVEW
32,DCFCW
33,DELL
34,DRCTW
35,DTSTW
36,DUOT
37,ECOM          
38,EMBKW
39,EOSEW
40,ESSCU
41,ESSCW
42,FLYW
43,FORA
44,FSRDW
45,GLBE
46,GSMGW
47,HIMX
48,HLIT
49,HLTH
50,HOOD
51,INDIW
52,INOD
53,ISUN
54,JG
55,JNPR
56,JOB
57,KBNTW
58,KPLTW
59,LFUS
60,LTCHW
61,LVOXW
62,MAPSW
63,MFGP
64,MGIC
65,MKTWW
66,MRVL
67,MSCI
68,MYPSW
69,NLOK
70,NOK
71,NOW
72,NVTSW
73,NXPLW
74,OMQS
75,PAYOW
76,PCTY
77,PEARW
78,PHUNW
79,PLAN
80,PSTG
81,RDCM
82,SCPL
83,SHCRW
84,SMAR
85,SMFRW
86,SMTC
87,SPT
88,SQNS
89,SQSP
90,STRNW
91,SURGW
92,SYNA
93,TRKAW
94,TSEM
95,TSM
96,USER
97,VENAW
98,VERBW
99,VOLT
100,WB
101,WEAV
102,YOU
103,YRD
