,date,AAOI,AAPL,ABM,ACEV,ACEVU,ACIW,ACLS,ACMR,ACVA,ACY,ADBE,ADI,ADSK,ADTH,ADV,AER,AEYE,AFRM,AGIL,AGMH,AGYS,AI,AIP,AIRG,ALGM,ALIT,ALKT,ALOT,ALRM,ALTG,ALTR,AMBA,AMD,AMKR,AMPL,AMST,AMSWA,AMWL,ANET,ANGI,ANSS,ANTE,AOSL,APCX,API,APP,APPF,APPN,ARNC,ARRY,ARW,ASAN,ASGN,ASML,ASUR,ASX,ASYS,ATEN,ATHM,ATKR,ATOM,ATVI,AUGX,AUID,AUR,AUUD,AVCT,AVDX,AVGO,AVGOP,AVID,AVT,AVYA,AWRE,AXTI,AYX,AZPN,BAND,BASE,BBAI,BBSI,BCOV,BDR,BEAT,BEEM,BGSF,BHE,BIDU,BIGC,BILI,BILL,BKI,BKKT,BKTI,BL
0,20220218  09:30:00,4.36,169.015,43.82,10.01,10.235,33.735,69.3,82.07,12.34,4.63,452.195,160.63,225.7,6.55,7.85,66.775,5.735,37.86,4.755,1.63,39.74,22.105,16.09,9.38,28.17,10.795,15.24,14.43,70.485,13.065,60.82,141.23,113.46,23.965,18.775,0.6965,20.765,3.985,128.195,6.475,311.515,1.555,53.72,1.45,9.39,65.06,115.66,54.935,31.49,9.3,126.045,67.835,108.685,653.105,7.045,7.485,9.735,13.1,27.975,106.365,17.69,81.455,2.965,5.72,5.48,1.74,1.085,10.595,580.29,1815.51,31.01,41.5,14.12,3.6,7.72,58.825,141.705,53.69,21.505,5.105,60.965,7.71,0.4775,1.69,14.455,14.18,25.64,161.215,26.315,34.365,236.655,57.22,5.895,2.415,75.04
1,20220218  10:00:00,4.385,168.055,43.35,10.005,10.235,33.33,67.805,79.34,12.33,4.57,446.39,159.405,220.605,6.375,7.79,66.15,5.755,36.435,4.655,1.615,39.02,21.2,15.71,9.405,27.685,10.595,15.06,14.145,69.65,13.1,59.81,137.765,111.14,23.465,19.045,0.7025,20.475,3.865,126.685,6.335,307.28,1.57,52.35,1.395,8.985,65.83,113.71,52.99,31.885,9.145,124.475,63.91,108.13,647.695,7.105,7.445,9.89,13.125,27.42,104.65,17.065,81.385,2.86,5.665,5.115,1.64,1.055,9.95,576.645,1804.44,30.295,41.18,13.835,3.59,7.48,55.94,141.29,52.14,20.94,5.025,61.5,7.63,0.4725,1.635,13.88,14.17,25.425,159.44,25.295,32.725,229.46,57.21,5.64,2.425,73.445
2,20220218  11:00:00,4.37,167.295,42.935,10.02,10.235,33.15,67.475,79.51,12.38,4.16,447.215,159.12,219.45,6.465,7.84,65.16,5.755,36.575,4.625,1.585,38.495,21.05,15.24,9.39,27.635,10.605,15.055,14.25,69.33,12.87,59.165,136.415,111.115,23.41,18.505,0.6975,20.37,3.875,126.545,6.405,303.52,1.56,52.2,1.315,8.9,64.04,113.345,53.74,31.635,9.105,122.93,64.505,106.89,644.245,7.085,7.385,9.815,12.97,27.255,104.345,17.245,81.055,2.735,5.67,5.125,1.65,1.035,9.88,574.8,1798.765,30.165,40.82,13.595,3.445,7.48,55.44,141.315,51.15,20.955,5.035,61.215,7.61,0.4722,1.635,13.74,14.29,25.375,159.105,25.34,33.275,228.565,56.38,5.495,2.415,72.525
3,20220218  12:00:00,4.41,166.665,42.97,10.015,10.235,33.3,67.42,79.455,12.47,4.115,445.37,159.14,217.505,6.475,7.87,65.63,5.785,36.285,4.6,1.58,38.975,20.895,15.12,9.37,27.65,10.565,15.0,14.255,69.215,12.95,58.8,134.925,111.225,23.4,19.485,0.7075,20.28,3.855,126.2,6.445,300.91,1.525,52.49,1.325,8.795,63.94,112.865,53.9,31.475,9.065,123.215,63.27,107.505,646.995,7.11,7.405,9.81,12.925,27.165,104.955,17.275,81.075,2.735,5.67,5.125,1.665,1.025,9.93,574.305,1797.56,30.52,40.815,13.695,3.415,7.44,55.09,141.375,50.935,20.75,5.02,61.32,7.605,0.4752,1.64,13.435,14.305,25.455,157.83,24.83,33.305,225.415,56.31,5.355,2.405,72.605
4,20220218  13:00:00,4.515,167.075,43.12,10.02,10.235,33.38,67.69,79.87,12.51,4.175,446.945,160.07,218.595,6.44,7.87,65.755,5.83,36.92,4.605,1.61,39.28,21.295,15.105,9.35,27.785,10.615,15.09,14.46,69.435,13.025,58.88,135.65,112.555,23.44,19.545,0.71,20.295,3.885,126.315,6.455,301.79,1.5,52.73,1.305,8.97,64.075,114.26,55.63,31.825,9.015,123.815,62.7,107.94,647.825,7.135,7.425,9.92,13.01,27.33,105.64,17.535,81.005,2.785,5.645,5.155,1.66,1.025,9.715,577.275,1806.335,30.65,41.09,13.74,3.435,7.5,55.16,141.375,51.2,20.545,5.03,60.84,7.53,0.4752,1.62,13.475,14.345,25.55,158.06,25.115,33.41,225.585,56.145,5.315,2.395,73.14
5,20220218  14:00:00,4.53,168.295,43.26,10.02,10.235,33.415,68.52,81.015,12.825,4.195,447.05,162.035,218.975,6.44,7.89,65.88,5.88,37.24,4.6,1.61,39.185,21.44,15.095,9.405,28.205,10.675,14.975,14.36,69.665,13.035,59.175,137.47,115.145,23.795,19.955,0.71,20.305,3.905,127.42,6.535,302.915,1.5,53.785,1.34,8.955,64.4,114.21,56.795,32.46,9.12,124.665,64.01,108.62,656.18,7.19,7.495,9.97,13.165,27.39,106.105,17.745,81.205,2.675,5.595,5.345,1.67,1.045,10.02,586.17,1833.265,30.875,41.43,13.975,3.425,7.555,55.135,142.425,51.14,20.74,5.025,60.835,7.605,0.4752,1.655,13.56,14.295,25.585,158.885,25.58,34.11,226.01,56.495,5.495,2.525,73.175
6,20220218  15:00:00,4.38,167.485,43.435,10.015,10.235,33.04,67.51,79.14,12.665,4.115,442.465,160.42,216.82,6.435,7.835,65.765,5.805,37.36,4.6,1.605,39.045,21.18,15.08,9.355,27.865,10.555,14.86,14.37,68.865,12.965,58.665,134.89,113.86,23.455,20.63,0.7101,20.305,3.865,125.9,6.615,299.585,1.495,52.98,1.29,8.925,63.765,113.285,55.655,32.245,8.985,123.745,63.055,107.375,648.2,7.21,7.425,9.91,12.975,27.265,105.155,17.335,81.09,2.475,5.665,5.28,1.66,1.035,9.825,579.785,1814.21,30.57,41.27,13.865,3.465,7.455,54.19,142.875,51.435,20.49,5.075,60.635,7.465,0.475,1.63,13.445,14.23,25.545,157.775,25.335,34.275,224.13,55.895,5.225,2.55,72.095
7,20220222  09:30:00,4.235,165.715,43.48,10.015,10.15,33.26,67.78,78.325,12.45,4.18,447.225,161.99,217.55,6.175,7.8,65.385,5.7,36.79,4.48,1.775,39.2,21.245,16.405,8.995,28.07,10.405,14.905,14.245,69.215,12.88,59.135,136.3,117.07,23.395,20.01,0.675,20.42,4.085,125.085,6.575,304.135,1.505,52.675,1.325,9.31,59.755,114.5,54.29,32.125,8.805,124.335,63.0,107.83,648.355,7.14,7.455,9.85,13.03,26.895,106.045,16.33,81.745,2.55,5.475,5.13,1.68,0.9759,9.86,586.37,1834.055,30.81,41.765,13.81,3.34,7.385,53.88,141.74,51.2,20.565,5.105,60.79,7.315,0.465,1.62,12.775,14.235,25.79,152.405,25.365,31.435,224.3,55.015,5.36,2.41,71.395
8,20220222  10:00:00,4.225,164.665,43.025,10.005,10.225,33.145,67.285,78.67,12.68,4.345,444.15,161.515,216.62,6.075,7.745,65.045,5.68,36.81,4.54,1.67,38.87,20.82,17.475,8.635,27.755,10.345,14.905,14.265,68.555,12.895,58.995,135.365,116.695,23.215,20.02,0.68,20.17,4.105,123.76,6.605,304.935,1.505,51.895,1.265,9.775,59.8,113.91,54.135,31.6,8.725,122.75,61.835,105.795,640.605,7.1,7.435,9.675,12.915,27.03,104.34,15.85,81.425,2.62,5.46,5.155,1.665,0.9351,9.73,581.31,1818.03,30.3,41.295,13.645,3.315,7.315,54.105,142.855,51.61,20.775,5.08,60.805,7.325,0.465,1.615,12.79,14.195,25.52,153.605,25.21,31.58,225.72,55.055,5.345,2.505,70.595
9,20220222  11:00:00,4.12,164.685,43.0,10.005,10.225,33.13,66.445,76.33,12.675,4.345,438.95,161.905,216.3,6.08,7.795,65.325,5.44,36.615,4.51,1.72,38.675,20.405,17.82,8.73,27.45,10.235,14.635,14.025,68.09,12.87,58.585,133.85,115.13,23.015,19.83,0.6651,20.09,4.035,122.715,6.485,301.995,1.47,50.605,1.265,9.745,58.065,113.33,53.455,31.26,8.575,122.49,60.535,105.635,638.285,7.135,7.375,9.785,13.08,26.65,104.81,15.245,81.255,2.63,5.41,4.995,1.675,0.9145,9.455,580.72,1816.08,30.12,41.19,13.445,3.28,7.38,54.12,144.41,50.38,20.33,4.985,61.245,7.31,0.47,1.61,12.34,14.175,25.715,153.0,24.425,31.05,223.2,55.03,5.245,2.495,70.51
